14:57:02 Step   94 | loss=-0.4871 | avg_loss=-0.4709 | tokens=4501 | queue=0
15:02:11 Step   95 | loss=-0.5787 | avg_loss=-0.4721 | tokens=3873 | queue=0
15:07:20 Step   96 | loss=-0.5129 | avg_loss=-0.4725 | tokens=4113 | queue=0
15:12:29 Step   97 | loss=-0.4764 | avg_loss=-0.4725 | tokens=3997 | queue=0
15:17:37 Step   98 | loss=-0.5415 | avg_loss=-0.4732 | tokens=3643 | queue=0
15:22:45 Step   99 | loss=-0.5188 | avg_loss=-0.4737 | tokens=3944 | queue=0
15:27:54 Step  100 | loss=-0.5375 | avg_loss=-0.4743 | tokens=4256 | queue=0
15:33:05 Step  101 | loss=-0.5032 | avg_loss=-0.4746 | tokens=4359 | queue=0
15:38:13 Step  102 | loss=-0.5736 | avg_loss=-0.4756 | tokens=4028 | queue=0
15:43:24 Step  103 | loss=-0.4976 | avg_loss=-0.4758 | tokens=4057 | queue=0
15:48:31 Step  104 | loss=-0.5278 | avg_loss=-0.4763 | tokens=4064 | queue=0
15:53:39 Step  105 | loss=-0.5701 | avg_loss=-0.4772 | tokens=3975 | queue=0
15:58:48 Step  106 | loss=-0.4884 | avg_loss=-0.4773 | tokens=3865 | queue=0
16:03:57 Step  107 | loss=-0.5479 | avg_loss=-0.4780 | tokens=4314 | queue=0
16:09:03 Step  108 | loss=-0.5025 | avg_loss=-0.4782 | tokens=3832 | queue=1
16:14:11 Step  109 | loss=-0.6236 | avg_loss=-0.4795 | tokens=3753 | queue=0
16:19:18 Step  110 | loss=-0.4903 | avg_loss=-0.4796 | tokens=4188 | queue=0
16:24:25 Step  111 | loss=-0.5489 | avg_loss=-0.4802 | tokens=3825 | queue=1
16:29:35 Step  112 | loss=-0.5581 | avg_loss=-0.4809 | tokens=4434 | queue=0
16:34:42 Step  113 | loss=-0.6211 | avg_loss=-0.4822 | tokens=3958 | queue=0
16:39:50 Step  114 | loss=-0.6252 | avg_loss=-0.4834 | tokens=4170 | queue=0
16:44:56 Step  115 | loss=-0.5814 | avg_loss=-0.4843 | tokens=3499 | queue=0
16:50:03 Step  116 | loss=-0.5398 | avg_loss=-0.4848 | tokens=4467 | queue=0
16:55:11 Step  117 | loss=-0.5594 | avg_loss=-0.4854 | tokens=3961 | queue=0
17:00:22 Step  118 | loss=-0.5485 | avg_loss=-0.4859 | tokens=4093 | queue=0
17:05:32 Step  119 | loss=-0.5804 | avg_loss=-0.4867 | tokens=3977 | queue=0
17:10:39 Step  120 | loss=-0.4804 | avg_loss=-0.4867 | tokens=4315 | queue=0
17:15:48 Step  121 | loss=-0.7107 | avg_loss=-0.4885 | tokens=3780 | queue=0
17:20:55 Step  122 | loss=-0.7108 | avg_loss=-0.4904 | tokens=3755 | queue=0
17:26:02 Step  123 | loss=-0.6112 | avg_loss=-0.4913 | tokens=3741 | queue=0
17:31:12 Step  124 | loss=-0.6151 | avg_loss=-0.4923 | tokens=4350 | queue=0
17:36:22 Step  125 | loss=-0.5620 | avg_loss=-0.4929 | tokens=3656 | queue=0
17:41:29 Step  126 | loss=-0.4948 | avg_loss=-0.4929 | tokens=4545 | queue=0
17:46:39 Step  127 | loss=-0.6771 | avg_loss=-0.4944 | tokens=3240 | queue=0
17:51:45 Step  128 | loss=-0.4628 | avg_loss=-0.4941 | tokens=4498 | queue=0
17:56:55 Step  129 | loss=-0.6338 | avg_loss=-0.4952 | tokens=4249 | queue=0
18:02:03 Step  130 | loss=-0.5451 | avg_loss=-0.4956 | tokens=3723 | queue=0
18:07:11 Step  131 | loss=-0.7194 | avg_loss=-0.4973 | tokens=3957 | queue=0
18:12:22 Step  132 | loss=-0.5718 | avg_loss=-0.4978 | tokens=4290 | queue=1
18:17:33 Step  133 | loss=-0.5976 | avg_loss=-0.4986 | tokens=4178 | queue=0
18:22:42 Step  134 | loss=-0.5948 | avg_loss=-0.4993 | tokens=3992 | queue=0
18:27:48 Step  135 | loss=-0.6136 | avg_loss=-0.5002 | tokens=3491 | queue=0
18:32:56 Step  136 | loss=-0.5996 | avg_loss=-0.5009 | tokens=4452 | queue=1
18:38:05 Step  137 | loss=-0.7201 | avg_loss=-0.5025 | tokens=3735 | queue=0
18:43:11 Step  138 | loss=-0.5049 | avg_loss=-0.5025 | tokens=4223 | queue=0
18:48:20 Step  139 | loss=-0.6025 | avg_loss=-0.5032 | tokens=3875 | queue=0
18:53:31 Step  140 | loss=-0.6414 | avg_loss=-0.5042 | tokens=4203 | queue=0
18:58:41 Step  141 | loss=-0.6391 | avg_loss=-0.5052 | tokens=4186 | queue=0
19:03:48 Step  142 | loss=-0.5688 | avg_loss=-0.5056 | tokens=3677 | queue=0
19:08:58 Step  143 | loss=-0.6951 | avg_loss=-0.5069 | tokens=4011 | queue=0
19:14:07 Step  144 | loss=-0.5562 | avg_loss=-0.5073 | tokens=4059 | queue=1
19:19:13 Step  145 | loss=-0.6426 | avg_loss=-0.5082 | tokens=3809 | queue=1
19:24:25 Step  146 | loss=-0.7548 | avg_loss=-0.5099 | tokens=4120 | queue=1
19:29:32 Step  147 | loss=-0.6436 | avg_loss=-0.5108 | tokens=4009 | queue=0
19:34:39 Step  148 | loss=-0.5643 | avg_loss=-0.5112 | tokens=4047 | queue=0
19:39:45 Step  149 | loss=-0.6121 | avg_loss=-0.5119 | tokens=3626 | queue=1
19:44:53 Step  150 | loss=-0.7802 | avg_loss=-0.5136 | tokens=4144 | queue=0
