11:35:22 Step  103 | loss=-0.3369 | avg_loss=-0.2177 | tokens=1874 | queue=0
11:40:33 Step  104 | loss=-0.2398 | avg_loss=-0.2179 | tokens=2543 | queue=0
11:45:42 Step  105 | loss=-0.0747 | avg_loss=-0.2166 | tokens=2408 | queue=0
11:50:54 Step  106 | loss=-0.2380 | avg_loss=-0.2168 | tokens=2464 | queue=0
11:56:04 Step  107 | loss=-0.3770 | avg_loss=-0.2183 | tokens=2078 | queue=0
12:01:13 Step  108 | loss=-0.2371 | avg_loss=-0.2184 | tokens=1941 | queue=0
12:06:23 Step  109 | loss=-0.2651 | avg_loss=-0.2189 | tokens=2408 | queue=0
12:11:31 Step  110 | loss=-0.2623 | avg_loss=-0.2193 | tokens=2386 | queue=0
12:16:44 Step  111 | loss=-0.1825 | avg_loss=-0.2189 | tokens=2397 | queue=0
12:21:54 Step  112 | loss=-0.2656 | avg_loss=-0.2194 | tokens=2473 | queue=0
12:27:06 Step  113 | loss=-0.2293 | avg_loss=-0.2194 | tokens=2486 | queue=0
12:32:17 Step  114 | loss=-0.2106 | avg_loss=-0.2194 | tokens=2908 | queue=0
12:37:25 Step  115 | loss=-0.2471 | avg_loss=-0.2196 | tokens=1813 | queue=0
12:42:37 Step  116 | loss=-0.2216 | avg_loss=-0.2196 | tokens=2885 | queue=0
12:47:46 Step  117 | loss=-0.2043 | avg_loss=-0.2195 | tokens=2424 | queue=0
12:52:55 Step  118 | loss=-0.2637 | avg_loss=-0.2199 | tokens=2422 | queue=0
12:58:04 Step  119 | loss=-0.2402 | avg_loss=-0.2200 | tokens=2410 | queue=0
13:03:15 Step  120 | loss=-0.2242 | avg_loss=-0.2201 | tokens=2419 | queue=0
13:08:23 Step  121 | loss=-0.3052 | avg_loss=-0.2208 | tokens=2426 | queue=1
13:13:33 Step  122 | loss=-0.2166 | avg_loss=-0.2207 | tokens=2412 | queue=0
13:18:44 Step  123 | loss=-0.2419 | avg_loss=-0.2209 | tokens=2426 | queue=0
13:23:55 Step  124 | loss=-0.3551 | avg_loss=-0.2220 | tokens=2453 | queue=1
13:29:04 Step  125 | loss=-0.3959 | avg_loss=-0.2234 | tokens=1921 | queue=0
13:34:13 Step  126 | loss=-0.2729 | avg_loss=-0.2238 | tokens=2415 | queue=0
